"Name" "RA" "Dec"
"N7815" "00:03:24.07" "+20:40:59.88"
"NI5382" "00:03:24.10" "-65:10:59.52"
"N7808" "00:03:30.07" "-10:45:00.00"
"N7822" "00:03:36.10" "+68:36:59.76"
"N7816" "00:03:48.07" "+07:28:00.12"
"NI5383" "00:03:48.07" "+16:00:00.00"
"N7817" "00:04:00.07" "+20:45:00.00"
"N7818" "00:04:12.07" "+07:21:00.00"
"NI5384" "00:04:12.07" "-11:57:59.76"
"N7819" "00:04:24.07" "+31:28:59.88"
"N7820" "00:04:36.07" "+05:10:59.88"
"N7823" "00:04:48.10" "-62:03:59.76"
"NI1528" "00:05:06.07" "-03:07:00.12"
"N7824" "00:05:12.07" "+06:54:00.00"
"N7825" "00:05:12.07" "+05:12:00.00"
"N7826" "00:05:12.07" "-20:43:59.88"
"NI1529" "00:05:12.07" "-11:30:00.00"
"N7821" "00:05:18.07" "-16:28:59.88"
"N7827" "00:05:30.07" "+05:13:00.12"
"N7830" "00:06:12.07" "+08:22:00.12"
"N7828" "00:06:24.07" "-13:24:00.00"
"N7829" "00:06:24.07" "-13:24:00.00"
"NI5385" "00:06:24.07" "-00:04:00.12"
"N7833" "00:06:30.07" "+27:37:59.88"
"NI5386" "00:06:30.07" "-03:43:00.12"
"N7832" "00:06:36.07" "-03:42:00.00"
"N7834" "00:06:42.07" "+08:21:00.00"
"N7835" "00:06:48.07" "+08:25:00.12"
"N7837" "00:06:54.07" "+08:19:59.88"
"N7838" "00:07:00.07" "+08:19:59.88"
"N7839" "00:07:00.07" "+27:37:59.88"
"N7840" "00:07:06.07" "+08:33:00.00"
"N1" "00:07:18.07" "+27:42:59.76"
"N2" "00:07:18.07" "+27:40:59.88"
"N3" "00:07:18.07" "+08:16:59.88"
"N7831" "00:07:18.07" "+32:34:59.88"
"NI1530" "00:07:18.07" "+32:36:59.76"
"N4" "00:07:24.07" "+08:22:00.12"
"N5" "00:07:48.07" "+35:21:00.00"
"N7836" "00:08:00.07" "+33:03:59.76"
"N6" "00:08:18.07" "+32:30:00.00"
"N7" "00:08:24.07" "-29:54:59.76"
"NI1" "00:08:24.07" "+27:42:59.76"
"N10" "00:08:36.07" "-33:51:59.76"
"N11" "00:08:42.07" "+37:25:59.88"
"N12" "00:08:42.07" "+04:37:00.12"
"N8" "00:08:48.07" "+23:49:59.88"
"N13" "00:08:48.07" "+33:25:59.88"
"N14" "00:08:48.07" "+15:48:59.76"
"N9" "00:08:54.07" "+23:48:59.76"
"N15" "00:09:06.07" "+21:36:00.00"
"N16" "00:09:06.07" "+27:43:59.88"
"N18" "00:09:24.07" "+27:42:59.76"
"N19" "00:09:24.07" "+32:49:59.88"
"N20" "00:09:30.07" "+33:18:59.76"
"NI1531" "00:09:36.07" "-32:16:59.88"
"N22" "00:09:48.07" "+27:49:59.88"
"N23" "00:09:54.07" "+25:54:59.76"
"N24" "00:09:54.07" "-24:57:59.76"
"N25" "00:09:54.10" "-57:02:59.64"
"NI1532" "00:09:54.10" "-64:21:59.76"
"N28" "00:10:18.10" "-57:00:59.76"
"N26" "00:10:24.07" "+25:49:59.88"
"N27" "00:10:30.07" "+29:00:00.00"
"N31" "00:10:30.10" "-56:59:59.64"
"NI1533" "00:10:36.07" "-07:24:59.76"
"N21" "00:10:42.07" "+32:58:59.88"
"N29" "00:10:48.07" "+33:21:00.00"
"N30" "00:10:48.07" "+21:57:00.00"
"N32" "00:10:54.07" "+18:46:59.88"
"N33" "00:10:54.07" "+03:40:00.12"
"N17" "00:11:00.07" "-12:06:00.00"
"NI2" "00:11:00.07" "-12:48:59.76"
"N34" "00:11:06.07" "-12:06:00.00"
"N35" "00:11:12.07" "-12:00:00.00"
"N37" "00:11:18.10" "-56:57:59.76"
"N36" "00:11:24.07" "+06:22:59.88"
"N38" "00:11:54.07" "-05:36:00.00"
"NI3" "00:12:06.07" "-00:25:00.12"
"N39" "00:12:18.07" "+31:03:00.00"
"N41" "00:12:48.07" "+22:01:59.88"
"N42" "00:12:54.07" "+22:06:00.00"
"N40" "00:13:00.10" "+72:31:59.52"
"N43" "00:13:00.07" "+30:54:00.00"
"N44" "00:13:06.07" "+31:16:59.88"
"NI4" "00:13:24.07" "+17:28:59.88"
"NI1534" "00:13:48.07" "+48:08:59.64"
"N48" "00:14:00.07" "+48:13:59.88"
"NI1535" "00:14:00.07" "+48:08:59.64"
"N45" "00:14:06.07" "-23:10:59.88"
"N46" "00:14:06.07" "+05:58:59.88"
"NI1536" "00:14:12.07" "+48:07:59.88"
"N49" "00:14:18.07" "+48:13:59.88"
"N47" "00:14:30.07" "-07:10:59.88"
"N58" "00:14:30.07" "-07:09:59.76"
"N51" "00:14:36.07" "+48:14:59.64"
"N52" "00:14:36.07" "+18:33:00.00"
"N50" "00:14:42.07" "-07:19:59.88"
"N53" "00:14:42.10" "-60:19:59.52"
"N55" "00:14:54.07" "-39:10:59.88"
"N54" "00:15:06.07" "-07:07:59.88"
"N56" "00:15:24.07" "+12:25:59.88"
"N57" "00:15:24.07" "+17:18:00.00"
"N59" "00:15:30.07" "-21:27:00.00"
"N60" "00:16:00.07" "-00:18:00.00"
"NI1537" "00:16:00.07" "-39:18:59.76"
"N61" "00:16:30.07" "-06:13:59.88"
"N62" "00:17:06.07" "-13:27:59.76"
"NI5" "00:17:24.07" "-09:33:00.00"
"N64" "00:17:30.07" "-06:51:00.00"
"N63" "00:17:42.07" "+11:27:00.00"
"NI1538" "00:18:00.07" "+30:03:59.76"
"N67" "00:18:12.07" "+30:03:59.76"
"N68" "00:18:18.07" "+30:03:59.76"
"N69" "00:18:18.07" "+30:01:59.88"
"N70" "00:18:24.07" "+30:04:59.88"
"N71" "00:18:24.07" "+30:03:59.76"
"NI1539" "00:18:24.07" "+30:06:00.00"
"N72" "00:18:30.07" "+30:01:59.88"
"N73" "00:18:48.07" "-15:21:00.00"
"N74" "00:18:54.07" "+30:03:00.00"
"NI6" "00:19:00.07" "-03:16:00.12"
"N65" "00:19:06.07" "-22:54:00.00"
"NI7" "00:19:06.07" "+10:33:00.00"
"NI8" "00:19:06.07" "-03:13:00.12"
"N66" "00:19:12.07" "-22:57:00.00"
"N75" "00:19:30.07" "+06:25:00.12"
"N76" "00:19:36.07" "+29:55:59.88"
"NI9" "00:19:42.07" "-14:06:59.76"
"NI1540" "00:19:48.07" "+23:42:59.76"
"N77" "00:20:00.07" "-22:30:59.76"
"NI1541" "00:20:00.07" "+22:00:59.76"
"NI12" "00:20:18.07" "-02:39:00.00"
"N78" "00:20:24.07" "+00:49:00.12"
"NI10" "00:20:24.07" "+59:17:59.64"
"NI13" "00:20:24.07" "+07:42:00.00"
"NI11" "00:20:30.07" "+56:35:59.64"
"NI1542" "00:20:36.07" "+22:36:59.76"
"NI1543" "00:20:54.07" "+21:52:59.88"
"N79" "00:21:00.07" "+22:33:59.76"
"N80" "00:21:12.07" "+22:21:00.00"
"N81" "00:21:12.07" "+22:21:59.76"
"N87" "00:21:12.07" "-48:37:59.88"
"N88" "00:21:18.07" "-48:38:59.64"
"N89" "00:21:18.07" "-48:40:59.88"
"NI1544" "00:21:18.07" "+23:01:59.88"
"NI1545" "00:21:18.07" "+21:58:59.88"
"N82" "00:21:24.07" "+22:25:59.88"
"N83" "00:21:24.07" "+22:25:59.88"
"N85" "00:21:24.07" "+22:30:00.00"
"N84" "00:21:30.07" "+22:36:00.00"
"N86" "00:21:30.07" "+22:33:00.00"
"N92" "00:21:30.07" "-48:37:59.88"
"NI1546" "00:21:30.07" "+22:30:00.00"
"NI1547" "00:21:36.07" "+22:30:59.76"
"N91" "00:21:48.07" "+22:24:59.76"
"N90" "00:21:54.07" "+22:24:59.76"
"NI1548" "00:21:54.07" "+22:00:59.76"
"N93" "00:22:00.07" "+22:24:59.76"
"N94" "00:22:12.07" "+22:27:59.76"
"N95" "00:22:12.07" "+10:30:00.00"
"N96" "00:22:18.07" "+22:33:00.00"
"N97" "00:22:24.07" "+29:43:59.88"
"NI14" "00:22:36.07" "+10:28:59.88"
"N98" "00:22:48.07" "-45:15:59.76"
"NI1549" "00:23:12.07" "+06:58:59.88"
"N101" "00:23:54.07" "-32:33:59.76"
"N99" "00:24:00.07" "+15:46:59.88"
"N100" "00:24:00.07" "+16:28:59.88"
"N104" "00:24:06.10" "-72:04:59.52"
"N102" "00:24:24.07" "-13:57:00.00"
"NI1550" "00:24:24.07" "+38:11:59.64"
"N106" "00:24:42.07" "-05:09:59.76"
"N103" "00:25:18.07" "+61:20:59.64"
"N105" "00:25:18.07" "+12:52:59.88"
"N107" "00:25:36.07" "-08:16:59.88"
"N108" "00:25:54.07" "+29:12:59.76"
"N109" "00:26:12.07" "+21:48:59.76"
"N111" "00:26:42.07" "-02:37:59.88"
"N112" "00:26:42.07" "+31:42:59.76"
"N115" "00:26:48.07" "-33:40:59.88"
"N121" "00:26:48.10" "-71:31:59.52"
"N113" "00:27:00.07" "-02:30:00.00"
"N114" "00:27:06.07" "-01:46:59.88"
"N119" "00:27:06.07" "-56:58:59.52"
"N116" "00:27:12.07" "-07:42:00.00"
"N117" "00:27:12.07" "+01:19:00.12"
"N118" "00:27:18.07" "-01:46:59.88"
"N110" "00:27:24.10" "+71:22:59.52"
"N120" "00:27:30.07" "-01:31:00.12"
"NI1551" "00:27:36.07" "+08:52:59.88"
"N122" "00:27:42.07" "-01:37:59.88"
"N123" "00:27:48.07" "-01:36:00.00"
"N124" "00:27:54.07" "-01:49:00.12"
"NI16" "00:27:54.07" "-13:04:59.88"
"NI15" "00:28:00.07" "-00:04:00.12"
"NI17" "00:28:30.07" "+02:39:00.00"
"NI20" "00:28:30.07" "-13:00:00.00"
"NI18" "00:28:36.07" "-11:33:59.76"
"NI19" "00:28:42.07" "-11:37:59.88"
"N125" "00:28:48.07" "+02:49:59.88"
"N126" "00:29:06.07" "+02:49:00.12"
"N127" "00:29:12.07" "+02:52:00.12"
"N128" "00:29:12.07" "+02:51:00.00"
"NI21" "00:29:12.07" "-00:10:00.12"
"N130" "00:29:18.07" "+02:52:00.12"
"N131" "00:29:36.07" "-33:15:59.76"
"NI22" "00:29:36.07" "-09:03:00.00"
"NI1552" "00:29:36.07" "+21:28:59.88"
"N129" "00:29:54.07" "+60:13:59.88"
"N132" "00:30:12.07" "+02:06:00.00"
"N134" "00:30:24.07" "-33:14:59.64"
"NI23" "00:30:54.07" "-12:43:59.88"
"N138" "00:31:00.07" "+05:10:00.12"
"N139" "00:31:00.07" "+05:04:59.88"
"N137" "00:31:06.07" "+10:10:59.88"
"N133" "00:31:12.07" "+63:21:59.76"
"NI24" "00:31:12.07" "+30:51:00.00"
"NI25" "00:31:12.07" "-00:24:00.00"
"N140" "00:31:18.07" "+30:46:59.88"
"N142" "00:31:18.07" "-22:36:59.76"
"N141" "00:31:24.07" "+05:10:59.88"
"N143" "00:31:24.07" "-22:33:59.76"
"N144" "00:31:24.07" "-22:39:00.00"
"N136" "00:31:30.07" "+61:31:59.88"
"N145" "00:31:42.07" "-05:09:00.00"
"N135" "00:31:48.07" "-13:21:59.76"
"NI26" "00:31:48.07" "-13:19:59.88"
"NI1553" "00:32:42.07" "-25:34:59.88"
"N152" "00:32:48.07" "-73:08:59.64"
"N146" "00:33:06.07" "+63:17:59.64"
"NI27" "00:33:06.07" "-13:21:59.76"
"NI28" "00:33:06.07" "-13:27:00.00"
"NI1554" "00:33:06.07" "-32:15:59.76"
"N147" "00:33:12.07" "+48:29:59.64"
"N149" "00:33:42.07" "+30:42:59.76"
"N151" "00:34:00.07" "-09:42:00.00"
"N153" "00:34:00.07" "-09:42:00.00"
"N154" "00:34:06.07" "-12:39:00.00"
"NI29" "00:34:12.07" "-02:10:59.88"
"N148" "00:34:18.07" "-31:46:59.88"
"N150" "00:34:18.07" "-27:47:59.64"
"NI30" "00:34:18.07" "-02:04:59.88"
"NI31" "00:34:24.07" "+12:16:59.88"
"N156" "00:34:36.07" "-08:21:00.00"
"N159" "00:34:36.07" "-55:46:59.88"
"NI1555" "00:34:36.07" "-30:00:59.76"
"N155" "00:34:42.07" "-10:45:59.76"
"N157" "00:34:48.07" "-08:24:00.00"
"N158" "00:34:54.07" "-08:18:59.76"
"NI32" "00:35:00.07" "-02:07:59.88"
"NI33" "00:35:06.07" "-02:07:59.88"
"NI1556" "00:35:06.07" "-09:33:59.76"
"N167" "00:35:18.07" "-23:21:59.76"
"N161" "00:35:30.07" "-02:49:59.88"
"NI1557" "00:35:30.07" "-02:51:00.00"
"NI34" "00:35:36.07" "+09:07:59.88"
"N166" "00:35:48.07" "-13:36:59.76"
"N176" "00:35:48.07" "-73:10:59.52"
"NI1558" "00:35:48.07" "-25:21:59.76"
"N163" "00:36:00.07" "-10:06:59.76"
"N160" "00:36:06.07" "+23:57:00.00"
"N162" "00:36:06.07" "+23:57:59.76"
"N164" "00:36:30.07" "+02:45:00.00"
"N165" "00:36:30.07" "-10:06:00.00"
"N168" "00:36:42.07" "-22:36:00.00"
"N170" "00:36:42.07" "+01:51:00.00"
"N169" "00:36:54.07" "+23:58:59.88"
"N174" "00:36:54.07" "-29:28:59.88"
"NI1559" "00:36:54.07" "+23:58:59.88"
"N173" "00:37:12.07" "+01:55:59.88"
"N172" "00:37:18.07" "-22:36:00.00"
"N171" "00:37:24.07" "-19:55:59.88"
"N175" "00:37:24.07" "-19:55:59.88"
"N177" "00:37:30.07" "-22:33:59.76"
"NI35" "00:37:42.07" "+10:21:00.00"
"NI1560" "00:37:42.07" "+02:40:00.12"
"N179" "00:37:48.07" "-17:52:59.88"
"NI36" "00:37:48.07" "-15:25:59.88"
"N180" "00:38:00.07" "+08:37:59.88"
"N181" "00:38:12.07" "+29:27:59.76"
"N182" "00:38:12.07" "+02:43:59.88"
"N183" "00:38:18.07" "+29:30:00.00"
"N184" "00:38:30.07" "+29:25:59.88"
"N186" "00:38:30.07" "+03:09:00.00"
"NI37" "00:38:30.07" "-15:22:59.88"
"NI1561" "00:38:30.07" "-24:19:59.88"
"NI38" "00:38:36.07" "-15:25:59.88"
"NI1562" "00:38:36.07" "-24:16:59.88"
"N190" "00:38:54.07" "+07:01:59.88"
"N185" "00:39:00.07" "+48:19:59.88"
"N191" "00:39:00.07" "-09:00:00.00"
"NI1563" "00:39:00.07" "-09:00:59.76"
"N178" "00:39:06.07" "-14:09:59.76"
"N209" "00:39:06.07" "-18:37:59.88"
"NI39" "00:39:06.07" "-14:09:59.76"
"NI1564" "00:39:12.07" "+05:58:00.12"
"N192" "00:39:18.07" "+00:51:00.00"
"N193" "00:39:18.07" "+03:19:59.88"
"N194" "00:39:18.07" "+03:01:59.88"
"N196" "00:39:18.07" "+00:54:00.00"
"N197" "00:39:24.07" "+00:52:59.88"
"N198" "00:39:24.07" "+02:48:00.00"
"NI1565" "00:39:24.07" "+06:43:00.12"
"NI1566" "00:39:24.07" "+06:48:00.00"
"NI40" "00:39:30.07" "+02:25:59.88"
"N187" "00:39:36.07" "-14:40:59.88"
"N189" "00:39:36.07" "+61:03:59.76"
"N195" "00:39:36.07" "-09:12:00.00"
"N199" "00:39:36.07" "+03:07:00.12"
"N200" "00:39:36.07" "+02:52:59.88"
"NI1567" "00:39:36.07" "+06:37:00.12"
"N201" "00:39:42.07" "+00:51:00.00"
"N202" "00:39:42.07" "+03:31:00.12"
"N203" "00:39:42.07" "+03:25:59.88"
"NI41" "00:39:42.07" "-14:09:59.76"
"N204" "00:39:48.07" "+03:16:59.88"
"NI1568" "00:39:54.07" "+06:49:59.88"
"N207" "00:40:00.07" "-14:18:00.00"
"N212" "00:40:06.07" "-56:09:59.76"
"N205" "00:40:24.07" "+41:40:59.88"
"N208" "00:40:24.07" "+02:43:59.88"
"NI1569" "00:40:24.07" "+06:42:00.00"
"N220" "00:40:30.07" "-73:23:59.64"
"N206" "00:40:36.07" "+40:43:59.88"
"N210" "00:40:36.07" "-13:51:59.76"
"N222" "00:40:36.07" "-73:23:59.64"
"NI1570" "00:40:36.07" "+06:45:00.00"
"NI1571" "00:40:42.07" "-00:19:00.12"
"N215" "00:40:48.07" "-56:12:59.76"
"N211" "00:41:00.07" "+03:25:59.88"
"N231" "00:41:00.07" "-73:21:59.76"
"NI42" "00:41:06.07" "-15:25:59.88"
"N213" "00:41:12.07" "+16:27:59.76"
"NI1572" "00:41:12.07" "+16:15:59.76"
"N216" "00:41:24.07" "-21:03:00.00"
"N214" "00:41:30.07" "+25:30:00.00"
"N217" "00:41:30.07" "-10:01:59.88"
"N218" "00:41:48.07" "+36:21:00.00"
"NI44" "00:42:12.07" "+00:51:00.00"
"NI1573" "00:42:12.07" "-23:31:59.88"
"N219" "00:42:18.07" "+00:54:00.00"
"N230" "00:42:24.07" "-23:37:59.88"
"NI43" "00:42:24.07" "+29:37:59.88"
"N227" "00:42:36.07" "-01:31:59.88"
