"Name" "RA" "Dec"
"N1372" "03:37:00.07" "-15:52:59.88"
"N1387" "03:37:00.05" "-35:30:59.76"
"NI1980" "03:37:00.05" "-57:57:59.76"
"N1376" "03:37:06.07" "-05:03:00.00"
"N1382" "03:37:06.05" "-35:12:00.00"
"NI337" "03:37:06.07" "-06:42:59.76"
"NI1978" "03:37:06.05" "-50:08:59.64"
"N1389" "03:37:12.05" "-35:45:00.00"
"NI1976" "03:37:12.05" "-47:25:59.88"
"N1385" "03:37:30.07" "-24:30:00.00"
"N1383" "03:37:36.07" "-18:19:59.88"
"NI338" "03:37:36.07" "+03:07:59.88"
"NI1967" "03:37:42.07" "+03:16:59.88"
"NI1982" "03:37:42.05" "-57:46:59.88"
"N1343" "03:37:48.02" "+72:33:59.76"
"N1390" "03:37:54.07" "-19:00:00.00"
"N1396" "03:38:06.05" "-35:39:59.76"
"NI339" "03:38:06.07" "-18:22:59.88"
"NI336" "03:38:12.07" "+23:27:59.76"
"N1388" "03:38:18.07" "-15:52:59.88"
"N1391" "03:38:30.07" "-18:21:00.00"
"N1395" "03:38:30.07" "-23:01:59.88"
"N1399" "03:38:30.05" "-35:27:00.00"
"N1393" "03:38:36.07" "-18:25:59.88"
"NI1943" "03:38:42.05" "-44:05:59.64"
"N1411" "03:38:48.05" "-44:04:59.88"
"N1398" "03:38:54.07" "-26:19:59.88"
"N1404" "03:38:54.05" "-35:34:59.88"
"N1394" "03:39:06.07" "-18:16:59.88"
"NI1975" "03:39:06.07" "-15:30:00.00"
"N1384" "03:39:12.07" "+15:49:59.88"
"N1403" "03:39:18.07" "-22:22:59.88"
"N1401" "03:39:24.07" "-22:43:59.88"
"N1402" "03:39:24.07" "-18:30:59.76"
"N1406" "03:39:24.05" "-31:18:59.76"
"N1408" "03:39:24.05" "-35:30:59.76"
"N1400" "03:39:30.07" "-18:40:59.88"
"NI340" "03:39:30.07" "-13:06:59.76"
"N1397" "03:39:36.07" "-04:40:00.12"
"NI1984" "03:39:54.05" "-47:04:59.88"
"NI343" "03:40:06.07" "-18:27:00.00"
"N1405" "03:40:12.07" "-15:30:00.00"
"N1407" "03:40:12.07" "-18:34:59.88"
"NI1987" "03:40:12.05" "-55:02:59.64"
"N1413" "03:40:18.07" "-15:34:59.88"
"NI1981" "03:40:30.07" "-26:51:59.76"
"N1412" "03:40:36.07" "-26:12:59.76"
"N1419" "03:40:36.05" "-37:30:59.76"
"NI1986" "03:40:36.05" "-45:21:59.76"
"NI1977" "03:40:48.07" "+17:45:00.00"
"NI1983" "03:40:54.07" "-22:33:59.76"
"N1415" "03:41:00.07" "-22:33:59.76"
"N1416" "03:41:00.07" "-22:42:59.76"
"N1409" "03:41:12.07" "-01:16:59.88"
"N1410" "03:41:12.07" "-01:16:59.88"
"NI341" "03:41:12.07" "+21:57:00.00"
"NI345" "03:41:12.07" "-18:18:59.76"
"N1414" "03:41:30.07" "-21:40:59.88"
"N1422" "03:41:30.07" "-21:40:59.88"
"NI344" "03:41:30.07" "-04:39:00.00"
"NI346" "03:41:42.07" "-18:15:59.76"
"NI1989" "03:41:54.05" "-50:56:59.64"
"N1417" "03:42:00.07" "-04:42:00.00"
"N1433" "03:42:00.05" "-47:12:59.76"
"N1425" "03:42:12.05" "-29:54:00.00"
"N1418" "03:42:18.07" "-04:43:59.88"
"N1427" "03:42:18.05" "-35:24:59.76"
"N1428" "03:42:24.05" "-35:09:59.76"
"N1421" "03:42:30.07" "-13:28:59.88"
"NI347" "03:42:30.07" "-04:16:59.88"
"N1423" "03:42:36.07" "-06:22:00.12"
"N1420" "03:42:42.07" "-05:51:00.00"
"N1426" "03:42:48.07" "-22:06:59.76"
"NI1988" "03:42:48.05" "-39:52:59.88"
"N1424" "03:43:12.07" "-04:43:59.88"
"N1430" "03:43:24.07" "-18:13:59.88"
"N1436" "03:43:36.05" "-35:51:00.00"
"N1437" "03:43:36.05" "-35:51:59.76"
"N1429" "03:44:00.07" "-04:43:00.12"
"N1434" "03:44:24.07" "-09:40:59.88"
"N1448" "03:44:30.05" "-44:38:59.64"
"N1457" "03:44:30.05" "-44:37:59.88"
"N1466" "03:44:30.02" "-71:40:59.88"
"NI348" "03:44:30.05" "+32:16:59.88"
"N1431" "03:44:36.07" "+02:51:00.00"
"NI1985" "03:44:36.05" "+32:09:59.76"
"NI350" "03:44:42.07" "-11:48:59.76"
"NI1991" "03:44:42.05" "-51:32:59.64"
"N1439" "03:44:48.07" "-21:54:59.76"
"N1445" "03:44:54.07" "-09:49:59.88"
"NI1997" "03:44:54.05" "-59:07:59.88"
"N1440" "03:45:00.07" "-18:15:59.76"
"N1442" "03:45:00.07" "-18:15:59.76"
"NI1996" "03:45:00.05" "-57:19:59.88"
"NI1992" "03:45:06.05" "-51:00:59.76"
"NI334" "03:45:12.00" "+76:37:59.88"
"N1438" "03:45:24.07" "-23:00:59.76"
"N1452" "03:45:24.07" "-18:37:59.88"
"N1455" "03:45:24.07" "-18:37:59.88"
"N1450" "03:45:36.07" "-09:12:59.76"
"N1441" "03:45:42.07" "-04:06:00.00"
"N1443" "03:45:42.07" "-04:01:00.12"
"N1432" "03:45:48.07" "+24:21:59.76"
"N1447" "03:45:48.07" "-08:58:59.88"
"NI1994" "03:45:48.05" "-51:39:59.76"
"N1454" "03:45:54.07" "-20:40:59.88"
"N1446" "03:46:00.07" "-04:04:00.12"
"N1449" "03:46:00.07" "-04:07:59.88"
"N1435" "03:46:06.07" "+23:46:59.88"
"N1451" "03:46:06.07" "-04:04:00.12"
"N1460" "03:46:06.05" "-36:40:59.88"
"N1463" "03:46:12.05" "-59:47:59.64"
"NI349" "03:46:18.07" "+23:55:59.88"
"N1453" "03:46:24.07" "-03:58:00.12"
"NI342" "03:46:48.02" "+68:05:59.64"
"N1458" "03:47:00.07" "-18:15:00.00"
"N1459" "03:47:00.05" "-25:30:59.76"
"NI1993" "03:47:06.05" "-33:42:59.76"
"N1473" "03:47:24.02" "-68:11:59.64"
"NI351" "03:47:30.05" "+35:03:00.00"
"NI1990" "03:47:30.05" "+24:36:59.76"
"NI352" "03:47:36.07" "-08:43:59.88"
"NI1999" "03:47:42.05" "-56:56:59.64"
"N1456" "03:48:12.07" "+22:33:59.76"
"N1461" "03:48:30.07" "-16:24:00.00"
"NI2000" "03:49:06.05" "-48:51:59.76"
"N1444" "03:49:24.05" "+52:39:59.76"
"N1462" "03:50:18.07" "+06:58:59.88"
"NI1995" "03:50:18.05" "+25:34:59.88"
"NI2001" "03:50:54.05" "-48:37:59.88"
"N1464" "03:51:24.07" "-15:24:59.76"
"NI1998" "03:51:30.07" "+01:10:59.88"
"NI2004" "03:51:48.05" "-49:24:59.76"
"N1467" "03:51:54.07" "-08:51:00.00"
"NI2010" "03:52:00.05" "-59:55:59.88"
"NI2051" "03:51:59.93" "-83:49:59.88"
"N1476" "03:52:06.05" "-44:31:59.88"
"N1468" "03:52:12.07" "-06:21:00.00"
"N1470" "03:52:12.07" "-09:00:59.76"
"NI2011" "03:52:30.05" "-57:28:59.88"
"N1483" "03:52:42.05" "-47:28:59.88"
"NI2012" "03:52:48.05" "-58:37:59.88"
"N1471" "03:53:06.07" "-15:24:00.00"
"NI354" "03:53:18.05" "+23:24:59.76"
"N1490" "03:53:30.05" "-66:01:59.88"
"N1465" "03:53:36.05" "+32:27:59.76"
"NI2009" "03:53:36.05" "-48:58:59.88"
"N1472" "03:53:42.07" "-08:34:59.88"
"NI355" "03:53:48.07" "+20:00:00.00"
"N1477" "03:54:00.07" "-08:34:59.88"
"N1475" "03:54:06.07" "-08:06:59.76"
"N1478" "03:54:06.07" "-08:33:59.76"
"NI2006" "03:54:06.05" "-35:58:59.88"
"N1474" "03:54:12.07" "-10:24:59.76"
"N1484" "03:54:12.05" "-37:00:00.00"
"N1479" "03:54:24.07" "-10:12:00.00"
"N1481" "03:54:24.05" "-20:24:59.76"
"NI2002" "03:54:24.07" "+10:43:00.12"
"N1480" "03:54:30.07" "-10:15:59.76"
"N1482" "03:54:42.05" "-20:30:00.00"
"NI353" "03:55:00.05" "+25:28:59.88"
"NI2007" "03:55:24.05" "-28:09:59.76"
"NI2008" "03:55:24.05" "-28:09:59.76"
"NI2014" "03:55:24.05" "-56:44:59.64"
"N1487" "03:55:48.05" "-42:21:59.76"
"N1486" "03:56:18.05" "-21:48:59.76"
"NI2003" "03:56:24.05" "+33:51:59.76"
"N1503" "03:56:30.05" "-66:01:59.88"
"NI2013" "03:56:42.07" "-17:06:00.00"
"NI2017" "03:56:42.05" "-59:23:59.64"
"N1493" "03:57:30.05" "-46:11:59.64"
"N1520" "03:57:30.00" "-76:49:59.88"
"N1489" "03:57:36.05" "-19:13:59.88"
"NI2005" "03:57:36.05" "+36:48:00.00"
"N1494" "03:57:42.05" "-48:53:59.64"
"NI2018" "03:57:54.05" "-52:46:59.88"
"NI2015" "03:58:00.05" "-40:27:00.00"
"N1488" "03:58:06.05" "+18:34:00.12"
"N1492" "03:58:06.05" "-35:27:00.00"
"N1500" "03:58:12.05" "-52:18:59.76"
"N1495" "03:58:24.05" "-44:27:59.76"
"NI2022" "03:58:42.05" "-59:01:59.88"
"NI2020" "03:59:00.05" "-54:02:59.64"
"NI2021" "03:59:24.05" "-52:39:59.76"
"N1511" "03:59:30.02" "-67:37:59.88"
"NI2023" "03:59:42.05" "-52:40:59.88"
"NI2024" "04:00:06.05" "-53:21:59.76"
"N1506" "04:00:24.05" "-52:33:59.76"
"NI2025" "04:00:24.05" "-53:03:59.76"
"N1469" "04:00:30.02" "+68:34:59.88"
"N1498" "04:00:30.07" "-12:00:59.76"
"N1499" "04:00:42.05" "+36:36:59.76"
"NI2028" "04:01:18.05" "-52:41:59.64"
"NI2029" "04:01:18.05" "-52:47:59.64"
"NI2016" "04:01:54.05" "+20:13:00.12"
"NI2019" "04:02:00.07" "+05:37:59.88"
"N1497" "04:02:06.05" "+23:07:59.88"
"N1504" "04:02:30.07" "-09:18:59.76"
"N1505" "04:02:42.07" "-09:18:00.00"
"N1491" "04:03:24.05" "+51:18:59.76"
"N1510" "04:03:30.05" "-43:24:59.76"
"NI358" "04:03:42.05" "+19:52:59.88"
"NI357" "04:03:48.05" "+22:09:00.00"
"N1512" "04:03:54.05" "-43:21:00.00"
"NI2026" "04:03:54.07" "-11:10:59.88"
"N1509" "04:04:00.07" "-11:12:00.00"
"N1515" "04:04:06.05" "-54:05:59.64"
"N1496" "04:04:24.05" "+52:36:59.76"
"N1507" "04:04:30.07" "-02:10:59.88"
"NI2030" "04:04:54.05" "-19:13:59.88"
"N1485" "04:05:06.02" "+70:59:59.64"
"N1526" "04:05:12.02" "-65:49:59.88"
"N1508" "04:05:48.05" "+25:24:00.00"
"NI2031" "04:05:54.07" "-05:37:00.12"
"N1522" "04:06:06.05" "-52:39:59.76"
"N1523" "04:06:12.05" "-54:05:59.64"
"NI2034" "04:06:36.05" "-57:57:59.76"
"NI2027" "04:06:42.05" "+37:06:59.76"
"N1518" "04:06:48.05" "-21:10:59.88"
"N1501" "04:07:00.05" "+60:54:59.76"
"NI2032" "04:07:06.05" "-55:19:59.88"
"N1529" "04:07:12.05" "-62:53:59.64"
"NI2033" "04:07:12.05" "-53:40:59.88"
"NI2054" "04:07:12.00" "-78:14:59.64"
"N1502" "04:07:42.05" "+62:19:59.88"
"NI356" "04:07:48.02" "+69:48:59.76"
"N1516" "04:08:06.05" "-08:52:59.88"
"N1519" "04:08:06.05" "-17:12:00.00"
"N1521" "04:08:18.05" "-21:03:00.00"
"NI2037" "04:08:18.05" "-58:44:59.64"
"N1527" "04:08:24.05" "-47:52:59.88"
"N1534" "04:08:48.05" "-62:46:59.88"
"NI2038" "04:08:54.05" "-55:59:59.64"
"NI2035" "04:09:00.05" "-45:30:59.76"
"NI2039" "04:09:00.05" "-56:00:59.76"
"N1514" "04:09:12.05" "+30:46:59.88"
"N1517" "04:09:18.05" "+08:39:00.00"
"N1533" "04:09:54.05" "-56:06:59.76"
"N1513" "04:10:00.05" "+49:30:59.76"
"NI2036" "04:10:00.05" "-39:42:00.00"
"N1524" "04:10:18.05" "-08:48:00.00"
"N1525" "04:10:18.05" "-08:48:00.00"
"N1536" "04:11:00.05" "-56:28:59.88"
"NI2043" "04:11:12.05" "-53:40:59.88"
"NI2044" "04:11:12.05" "-54:30:59.76"
"NI2046" "04:11:24.05" "-54:39:59.76"
"NI2042" "04:11:42.05" "-47:15:59.76"
"N1531" "04:12:00.05" "-32:51:00.00"
"N1532" "04:12:06.05" "-32:51:59.76"
"NI2049" "04:12:06.05" "-58:32:59.64"
"NI2041" "04:12:36.05" "-32:48:59.76"
"N1543" "04:12:48.05" "-57:43:59.88"
"NI360" "04:13:00.05" "+25:37:59.88"
"NI2040" "04:13:00.05" "-32:33:00.00"
"N1557" "04:13:18.02" "-70:24:59.76"
"N1537" "04:13:42.05" "-31:39:00.00"
"NI2050" "04:13:54.05" "-53:28:59.88"
"N1535" "04:14:12.05" "-12:43:59.88"
"NI2048" "04:14:18.05" "-33:06:59.76"
"N1546" "04:14:36.05" "-56:03:59.76"
"NI2045" "04:14:36.05" "-13:09:59.76"
"N1538" "04:14:42.05" "-13:12:00.00"
"NI2047" "04:14:54.05" "-13:10:59.88"
"NI2052" "04:15:00.05" "-54:19:59.88"
"N1540" "04:15:12.05" "-28:28:59.88"
"N1528" "04:15:24.05" "+51:13:59.88"
"N1549" "04:15:42.05" "-55:35:59.64"
"NI2053" "04:15:48.05" "-49:21:59.76"
"N1553" "04:16:12.05" "-55:46:59.88"
"NI2056" "04:16:30.05" "-60:12:59.76"
"NI362" "04:16:42.05" "-12:12:59.76"
"N1541" "04:17:00.05" "+00:49:59.88"
"N1542" "04:17:12.05" "+04:48:00.00"
"N1547" "04:17:12.05" "-17:52:59.88"
"N1559" "04:17:36.05" "-62:46:59.88"
"N1556" "04:17:42.05" "-50:09:59.76"
"NI2055" "04:17:48.05" "-48:54:59.76"
"NI2058" "04:17:54.05" "-55:55:59.88"
"NI2060" "04:17:54.05" "-56:36:59.76"
"NI363" "04:18:54.05" "+03:03:00.00"
"N1539" "04:19:00.05" "+26:51:00.00"
"NI359" "04:19:00.05" "+28:12:00.00"
"NI361" "04:19:00.05" "+58:18:00.00"
"NI364" "04:19:06.05" "+03:10:00.12"
"NI365" "04:19:12.05" "+03:19:59.88"
"N1558" "04:19:18.05" "-45:01:59.88"
"N1550" "04:19:36.05" "+02:25:59.88"
"N1551" "04:19:36.05" "+01:25:00.12"
"NI366" "04:19:36.05" "+02:21:00.00"
"N1566" "04:20:00.05" "-54:55:59.88"
"N1552" "04:20:18.05" "-00:40:00.12"
"NI2059" "04:20:24.05" "-31:43:59.88"
"NI367" "04:20:36.05" "-14:46:59.88"
"N1545" "04:20:54.05" "+50:15:00.00"
"N1548" "04:21:00.05" "+36:55:59.88"
"N1567" "04:21:06.05" "-48:15:00.00"
"NI2065" "04:21:30.05" "-55:55:59.88"
"N1562" "04:21:42.05" "-15:45:00.00"
"N1554" "04:21:48.05" "+19:31:59.88"
"NI2057" "04:21:54.05" "+04:03:00.00"
"N1574" "04:22:00.05" "-56:57:59.76"
"N1570" "04:22:06.05" "-43:37:59.88"
"N1571" "04:22:12.05" "-43:37:59.88"
"N1572" "04:22:36.05" "-40:36:00.00"
"NI368" "04:22:42.05" "-12:36:59.76"
"N1555" "04:22:54.05" "+19:31:59.88"
"N1563" "04:22:54.05" "-15:43:59.88"
"N1564" "04:22:54.05" "-15:43:59.88"
"NI2063" "04:22:54.05" "-15:43:59.88"
"N1561" "04:23:00.05" "-15:51:00.00"
"N1530" "04:23:24.00" "+75:17:59.64"
"N1565" "04:23:24.05" "-15:45:00.00"
"NI369" "04:23:30.05" "-11:46:59.88"
"NI2064" "04:23:30.05" "-15:40:59.88"
"NI2066" "04:23:30.05" "-54:44:59.64"
"N1578" "04:23:48.05" "-51:34:59.88"
"NI2061" "04:24:00.05" "+21:04:59.88"
"NI370" "04:24:06.05" "-09:22:59.88"
"N1568" "04:24:24.05" "-00:45:00.00"
"NI2070" "04:24:36.05" "-57:58:59.88"
"N1581" "04:24:42.05" "-54:55:59.88"
"NI2069" "04:25:54.05" "-48:12:00.00"
"N1576" "04:26:12.05" "-03:37:00.12"
"NI2071" "04:26:12.05" "-53:07:59.88"
"N1575" "04:26:18.05" "-10:06:59.76"
"N1577" "04:26:18.05" "-10:06:59.76"
"NI2068" "04:26:36.05" "-42:06:00.00"
"NI2073" "04:26:36.05" "-53:10:59.88"
"NI2072" "04:26:54.05" "-48:21:59.76"
"N1585" "04:27:30.05" "-42:09:00.00"
"N1596" "04:27:36.05" "-55:01:59.88"
"N1602" "04:27:54.05" "-55:03:00.00"
"N1584" "04:28:06.05" "-17:31:59.88"
"NI2076" "04:28:06.05" "-48:12:59.76"
"N1580" "04:28:12.05" "-05:10:59.88"
"N1583" "04:28:18.05" "-17:36:59.76"
"N1595" "04:28:24.05" "-47:48:59.76"
"NI2079" "04:28:30.05" "-53:43:59.88"
"N1598" "04:28:36.05" "-47:46:59.88"
"NI2081" "04:29:00.05" "-53:36:59.76"
"NI2082" "04:29:06.05" "-53:49:59.88"
"N1629" "04:29:18.02" "-71:49:59.88"
"N1591" "04:29:24.05" "-26:43:59.88"
"N1592" "04:29:36.05" "-26:57:59.76"
"NI372" "04:30:06.05" "-05:01:00.12"
"N1579" "04:30:12.05" "+35:15:59.76"
"NI371" "04:30:12.05" "-00:33:00.00"
"N1586" "04:30:42.05" "-00:19:00.12"
"N1587" "04:30:42.05" "+00:40:00.12"
"NI373" "04:30:42.05" "-04:52:00.12"
"NI2083" "04:30:42.05" "-53:58:59.88"
"N1569" "04:30:48.02" "+64:51:00.00"
"N1588" "04:30:48.05" "+00:39:00.00"
"N1589" "04:30:48.05" "+00:51:00.00"
"N1594" "04:30:48.05" "-05:48:00.00"
"NI2067" "04:30:48.05" "+35:27:00.00"
"NI2075" "04:31:00.05" "-05:48:00.00"
"NI375" "04:31:06.05" "-12:57:59.76"
"NI376" "04:31:06.05" "-12:27:00.00"
"N1590" "04:31:12.05" "+07:37:00.12"
"N1597" "04:31:12.05" "-11:16:59.88"
"NI377" "04:31:18.05" "-12:27:00.00"
"NI2074" "04:31:18.05" "+07:42:00.00"
"NI2085" "04:31:24.05" "-54:24:59.76"
"NI378" "04:31:30.05" "-12:18:00.00"
"N1599" "04:31:36.05" "-04:34:59.88"
"NI2086" "04:31:36.05" "-53:37:59.88"
"N1600" "04:31:42.05" "-05:04:59.88"
"N1603" "04:31:42.05" "-05:06:00.00"
"N1617" "04:31:42.05" "-54:36:00.00"
"NI380" "04:31:42.05" "-12:55:59.88"
"N1601" "04:31:48.05" "-05:06:00.00"
"N1593" "04:31:54.05" "+00:34:00.12"
"N1604" "04:31:54.05" "-05:22:00.12"
"N1608" "04:31:54.05" "+00:34:59.88"
"NI379" "04:31:54.05" "-07:15:00.00"
"NI2078" "04:31:54.05" "-04:40:59.88"
"N1582" "04:32:00.05" "+43:51:00.00"
"N1607" "04:32:00.05" "-04:27:00.00"
"N1606" "04:32:06.05" "-05:01:59.88"
"NI2077" "04:32:06.05" "+00:34:00.12"
"NI2084" "04:32:06.05" "-48:16:59.88"
"NI2080" "04:32:18.05" "-05:45:00.00"
"NI374" "04:32:30.05" "+16:37:59.88"
"N1609" "04:32:36.05" "-04:22:00.12"
"NI2089" "04:32:36.00" "-75:32:59.64"
"N1616" "04:32:42.05" "-43:42:59.76"
"N1560" "04:32:48.02" "+71:52:59.88"
"NI2062" "04:32:48.02" "+71:54:00.00"
"N1611" "04:33:00.05" "-04:16:59.88"
"N1612" "04:33:06.05" "-04:10:00.12"
"N1613" "04:33:18.05" "-04:15:00.00"
"N1614" "04:34:00.05" "-08:34:59.88"
"N1610" "04:34:06.05" "-04:42:00.00"
"N1623" "04:34:54.05" "-13:30:59.76"
"N1573" "04:35:00.00" "+73:15:00.00"
"N1605" "04:35:00.05" "+45:15:00.00"
"N1615" "04:36:00.05" "+19:57:00.00"
"N1618" "04:36:06.05" "-03:09:00.00"
"N1641" "04:36:06.02" "-65:45:59.76"
"N1619" "04:36:12.05" "-04:49:59.88"
"N1621" "04:36:18.05" "-04:58:00.12"
"N1620" "04:36:36.05" "-00:09:00.00"
"N1622" "04:36:36.05" "-03:10:59.88"
"N1625" "04:37:06.05" "-03:18:00.00"
"N1626" "04:37:12.05" "-05:00:00.00"
"N1630" "04:37:18.05" "-18:54:00.00"
"N1627" "04:37:30.05" "-04:51:00.00"
"N1628" "04:37:30.05" "-04:42:00.00"
"N1651" "04:37:30.02" "-70:34:59.88"
"N1632" "04:37:54.05" "-09:30:59.76"
"NI382" "04:37:54.05" "-09:30:59.76"
"N1644" "04:38:00.02" "-66:11:59.64"
"N1649" "04:38:06.02" "-68:48:59.76"
"N1652" "04:38:06.02" "-68:39:59.76"
"N1631" "04:38:24.05" "-20:39:59.76"
"NI383" "04:39:00.05" "+09:54:00.00"
"NI384" "04:39:18.05" "-07:49:59.88"
"NI385" "04:39:30.05" "-07:06:00.00"
"NI2103" "04:39:48.00" "-76:49:59.88"
"N1633" "04:40:00.05" "+07:21:00.00"
"N1634" "04:40:00.05" "+07:19:59.88"
"NI386" "04:40:00.05" "-09:27:00.00"
"NI2087" "04:40:00.05" "+25:43:59.88"
"N1635" "04:40:06.05" "-00:33:00.00"
"N1624" "04:40:24.05" "+50:27:00.00"
"N1636" "04:40:42.05" "-08:36:00.00"
"N1639" "04:40:54.05" "-17:00:00.00"
"N1637" "04:41:30.05" "-02:51:00.00"
"N1638" "04:41:36.05" "-01:49:00.12"
"NI387" "04:41:42.05" "-07:04:59.88"
"NI388" "04:42:00.05" "-07:18:00.00"
"NI389" "04:42:00.05" "-07:18:00.00"
"NI390" "04:42:06.05" "-07:13:00.12"
"N1640" "04:42:12.05" "-20:25:59.88"
"N1673" "04:42:24.02" "-69:51:00.00"
"N1642" "04:42:54.05" "+00:37:00.12"
"N1669" "04:43:00.02" "-65:48:00.00"
"N1643" "04:43:36.05" "-05:16:59.88"
"N1676" "04:43:42.02" "-68:49:59.88"
"NI2088" "04:43:42.05" "+27:16:00.12"
"N1645" "04:44:00.05" "-05:25:59.88"
"N1658" "04:44:00.05" "-41:27:00.00"
"N1660" "04:44:12.05" "-41:28:59.88"
"N1646" "04:44:18.05" "-08:33:00.00"
"NI381" "04:44:24.00" "+75:39:00.00"
"N1648" "04:44:30.05" "-08:28:59.88"
"NI2090" "04:44:42.05" "-34:00:00.00"
"N1841" "04:44:59.88" "-84:00:00.00"
"N1650" "04:45:06.05" "-15:51:00.00"
"N1672" "04:45:42.05" "-59:15:00.00"
"N1653" "04:45:48.05" "-02:25:00.12"
"N1654" "04:45:48.05" "-02:06:00.00"
"N1656" "04:45:48.05" "-05:07:59.88"
"N1647" "04:46:00.05" "+19:04:00.12"
"N1668" "04:46:06.05" "-44:42:59.76"
"N1655" "04:46:12.05" "+20:55:59.88"
"N1657" "04:46:12.05" "-02:04:00.12"
"NI392" "04:46:24.05" "+03:30:00.00"
"N1659" "04:46:30.05" "-04:46:59.88"
"NI2091" "04:46:36.05" "-04:40:59.88"
"NI2092" "04:46:48.05" "-04:57:00.00"
"N1661" "04:47:12.05" "-02:03:00.00"
"N1693" "04:47:30.02" "-69:21:00.00"
"N1695" "04:47:36.02" "-69:24:00.00"
"NI2093" "04:47:36.05" "-02:43:00.12"
"NI393" "04:47:54.05" "-15:31:59.88"
"N1696" "04:48:00.02" "-68:15:59.76"
"N1665" "04:48:12.05" "-05:25:00.12"
"N1688" "04:48:24.05" "-59:48:00.00"
"NI2094" "04:48:24.05" "-05:22:00.12"
"N1662" "04:48:30.05" "+10:55:59.88"
"N1666" "04:48:30.05" "-06:34:00.12"
"N1663" "04:48:36.05" "+13:10:00.12"
"N1667" "04:48:36.05" "-06:19:00.12"
"N1680" "04:48:36.05" "-47:48:59.76"
"N1697" "04:48:36.02" "-68:31:59.88"
"NI2095" "04:48:42.05" "-05:07:59.88"
"NI394" "04:48:54.05" "-06:16:59.88"
"N1702" "04:49:18.02" "-69:51:00.00"
"N1698" "04:49:24.02" "-69:09:59.76"
"NI2105" "04:49:24.02" "-69:12:00.00"
"NI395" "04:49:36.05" "+00:15:00.00"
"NI2096" "04:49:36.05" "-04:58:59.88"
"N1704" "04:49:42.02" "-69:45:00.00"
"N1670" "04:49:54.05" "-02:43:59.88"
"N1679" "04:50:00.05" "-31:58:59.88"
"N1671" "04:50:18.05" "-00:46:00.12"
"NI2097" "04:50:18.05" "-05:04:59.88"
"N1711" "04:50:30.02" "-70:00:00.00"
"NI2098" "04:50:42.05" "-05:25:59.88"
"N1677" "04:50:48.05" "-04:52:00.12"
"NI2099" "04:50:48.05" "-04:54:00.00"
"N1664" "04:51:06.05" "+43:42:00.00"
"NI2100" "04:51:12.05" "-04:49:59.88"
"N1687" "04:51:18.05" "-33:55:59.88"
"N1712" "04:51:18.02" "-69:27:59.76"
"NI2101" "04:51:36.05" "-06:15:00.00"
"N1678" "04:51:42.05" "-02:37:59.88"
"N1681" "04:51:42.05" "-05:49:00.12"
"NI2102" "04:51:54.05" "-04:58:00.12"
"NI2111" "04:51:54.02" "-69:24:00.00"
"N1714" "04:52:06.02" "-66:55:59.88"
"N1715" "04:52:06.02" "-66:54:59.76"
"N1718" "04:52:12.02" "-67:03:59.76"
"N1722" "04:52:12.02" "-69:24:00.00"
"N1727" "04:52:12.02" "-69:21:00.00"
"N1682" "04:52:18.05" "-03:06:00.00"
"N1683" "04:52:18.05" "-03:01:00.12"
"N1674" "04:52:24.05" "+23:54:00.00"
"N1675" "04:52:24.05" "+23:54:00.00"
"N1684" "04:52:30.05" "-03:06:00.00"
"N1706" "04:52:30.02" "-62:58:59.88"
"N1685" "04:52:36.05" "-02:57:00.00"
"N1686" "04:52:48.05" "-15:21:59.76"
"N1703" "04:52:48.05" "-59:45:00.00"
"N1732" "04:52:54.02" "-68:39:59.76"
"N1736" "04:53:06.02" "-68:03:59.76"
"N1734" "04:53:18.02" "-68:46:59.88"
"N1731" "04:53:24.02" "-66:55:59.88"
"N1689" "04:53:36.05" "-06:19:59.88"
"N1733" "04:53:54.02" "-66:40:59.88"
"N1735" "04:53:54.02" "-67:06:59.76"
"N1743" "04:54:00.02" "-69:12:00.00"
"N1705" "04:54:12.05" "-53:21:59.76"
"N1751" "04:54:12.02" "-69:48:59.76"
"N1690" "04:54:18.05" "+01:37:59.88"
"N1737" "04:54:18.02" "-69:12:00.00"
"N1745" "04:54:18.02" "-69:12:00.00"
"N1748" "04:54:24.02" "-69:12:00.00"
"N1754" "04:54:24.02" "-70:27:00.00"
"N1691" "04:54:36.05" "+03:15:00.00"
"N1749" "04:54:36.02" "-68:12:00.00"
"N1756" "04:54:36.02" "-69:15:00.00"
"NI2114" "04:54:36.02" "-69:12:00.00"
"N1747" "04:54:54.02" "-67:10:59.88"
"N1755" "04:55:00.02" "-68:10:59.88"
"N1694" "04:55:12.05" "-04:39:00.00"
"N1692" "04:55:24.05" "-20:33:59.76"
"N1701" "04:55:48.05" "-29:52:59.88"
"N1766" "04:55:48.02" "-70:13:59.88"
"N1777" "04:55:48.00" "-74:16:59.88"
"N1764" "04:56:12.02" "-67:40:59.88"
"N1767" "04:56:18.02" "-69:24:00.00"
"N1761" "04:56:24.02" "-66:30:00.00"
"N1760" "04:56:30.02" "-66:31:59.88"
"NI2104" "04:56:30.05" "-15:46:59.88"
"NI2106" "04:56:36.05" "-28:30:00.00"
"N1768" "04:56:42.02" "-68:15:00.00"
"N1772" "04:56:42.02" "-69:33:59.76"
"N1763" "04:56:48.02" "-66:24:00.00"
"N1775" "04:56:48.02" "-70:25:59.88"
"N1700" "04:56:54.05" "-04:52:00.12"
"N1699" "04:57:00.05" "-04:45:00.00"
